rse_licensee,rse_name,public_offer_status,mysuper_product_name,product_category,single_strategy_lifecycle_indicator,lifecycle_stage_name,member_assets_000,proportion_of_total_assets_in_mysuper,member_accounts,strategic_growth_asset_allocation,performance_test_measure,pass_fail_indicator,lookback_period_years,actual_return_minus_benchmark_return,representative_administration_fees_and_expenses_rafe,relevant_benchmark_representative_administration_fees_and_expenses_brafe,10_year_net_investment_return_nir_p_a,10_year_nir_relative_to_saa_benchmark_portfolio_p_a,10_year_nir_relative_to_simple_reference_portfolio_p_a,10_year_net_return_50_000_rep_member_p_a,7_year_net_investment_return_nir_p_a,7_year_nir_relative_to_saa_benchmark_portfolio_p_a,7_year_nir_relative_to_simple_reference_portfolio_p_a,7_year_net_return_50_000_rep_member_p_a,5_year_net_investment_return_nir_p_a,5_year_nir_relative_to_saa_benchmark_portfolio_p_a,5_year_nir_relative_to_simple_reference_portfolio_p_a,5_year_net_return_50_000_rep_member_p_a,3_year_net_investment_return_nir_p_a,3_year_nir_relative_to_saa_benchmark_portfolio_p_a,3_year_nir_relative_to_simple_reference_portfolio_p_a,3_year_net_return_50_000_rep_member_p_a,administration_fees_and_costs_charged_10_000_account_balance,administration_fees_and_costs_charged_25_000_account_balance,administration_fees_and_costs_charged_50_000_account_balance,administration_fees_and_costs_charged_100_000_account_balance,administration_fees_and_costs_charged_250_000_account_balance,total_fees_and_costs_charged_10_000_account_balance,total_fees_and_costs_charged_25_000_account_balance,total_fees_and_costs_charged_50_000_account_balance,total_fees_and_costs_charged_100_000_account_balance,total_fees_and_costs_charged_250_000_account_balance
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 69,,,,0.58,,,,,,,0.0427,0.0012,-0.0107,0.0353,0.051,0.0021,-0.0096,0.043,0.0505,0.0027,-0.0157,0.0418,0.0843,0.0022,-0.0118,0.0789,0.0099,0.0063,0.005,0.0044,0.0041,0.0132,0.0095,0.0083,0.0077,0.0073
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 70,,,,0.58,,,,,,,0.0423,0.0012,-0.0108,0.0349,0.0504,0.0021,-0.0097,0.0425,0.0497,0.0028,-0.0159,0.041,0.0836,0.0023,-0.0119,0.0783,0.0099,0.0063,0.005,0.0044,0.0041,0.0132,0.0095,0.0083,0.0077,0.0073
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 71,,,,0.57,,,,,,,0.0419,0.0012,-0.0109,0.0345,0.0498,0.0021,-0.0098,0.0419,0.0487,0.0027,-0.0161,0.0402,0.083,0.0023,-0.012,0.0776,0.0099,0.0063,0.005,0.0044,0.0041,0.0132,0.0096,0.0083,0.0077,0.0073
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 72,,,,0.57,,,,,,,0.0415,0.0012,-0.011,0.0342,0.0492,0.0021,-0.01,0.0414,0.0479,0.0027,-0.0164,0.0394,0.0823,0.0023,-0.0121,0.077,0.0099,0.0063,0.005,0.0044,0.0041,0.0132,0.0096,0.0083,0.0077,0.0073
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 73,,,,0.56,,,,,,,0.0411,0.0013,-0.0111,0.0337,0.0486,0.0022,-0.0101,0.0408,0.047,0.0028,-0.0165,0.0385,0.0817,0.0025,-0.0121,0.0764,0.0099,0.0063,0.005,0.0044,0.004,0.0132,0.0096,0.0083,0.0077,0.0074
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle 74,,,,0.56,,,,,,,0.0406,0.0012,-0.0112,0.0333,0.048,0.0021,-0.0103,0.0402,0.046,0.0028,-0.0167,0.0376,0.081,0.0025,-0.0122,0.0757,0.0099,0.0063,0.005,0.0044,0.004,0.0132,0.0096,0.0083,0.0077,0.0074
Equity Trustees Superannuation Limited,Smart Future Trust,Public offer,smartMonday PRIME - MySuper,Generic,Lifecycle,smartMonday Lifecycle Over 75,,,,0.55,,,,,,,0.0402,0.0012,-0.0113,0.0329,0.0474,0.0021,-0.0104,0.0396,0.0451,0.0028,-0.0169,0.0368,0.0804,0.0026,-0.0123,0.0751,0.0099,0.0063,0.005,0.0044,0.004,0.0132,0.0096,0.0083,0.0077,0.0074
First Super Pty Limited,First Super,Public offer,Balanced - accumulation,Generic,Single strategy,,3881999,0.81,73570,0.76,0.01274,Pass,10,0.01361,0.00335,0.002482,0.0796,0.0136,0.0077,0.0733,0.0769,0.0132,0.004,0.0691,0.0992,0.0274,0.0143,0.0894,0.1153,0.0233,0.0019,0.0999,0.0111,0.0053,0.0034,0.0024,0.0018,0.0186,0.0127,0.0108,0.0098,0.0092
H.E.S.T. Australia Ltd.,HESTA,Public offer,HESTA MySuper,Generic,Single strategy,,70466665,0.7,989680,0.76,0.0055,Pass,10,0.00605,0.00304,0.002482,0.0764,0.0061,0.0021,0.0739,0.0743,0.0082,7.00E-04,0.0717,0.0902,0.0128,0.0025,0.0874,0.0963,0.002,-0.0155,0.0931,0.0072,0.0041,0.003,0.0025,0.0022,0.0117,0.0086,0.0076,0.007,0.0067
Host-Plus Pty. Limited,HOSTPLUS Superannuation Fund,Public offer,Hostplus MySuper,Generic,Single strategy,,83555388,0.58,1605800,0.81,0.00999,Pass,10,0.00981,0.00231,0.002482,0.0832,0.0098,0.0042,0.0813,0.0754,0.0061,-0.0039,0.0733,0.0968,0.0151,0.001,0.0945,0.088,-0.0059,-0.0311,0.0855,0.0115,0.0046,0.0023,0.0012,5.00E-04,0.0217,0.0148,0.0125,0.0114,0.0107
I.O.O.F. Investment Management Limited,IOOF Portfolio Service Superannuation Fund,Public offer,IOOF MySuper,Generic,Single strategy,,4638355,0.06,64530,0.74,0.00266,Pass,10,0.00478,0.0046,0.002482,0.076,0.0048,-0.0025,0.0674,0.075,0.0057,-0.0039,0.0675,0.0868,0.0095,-0.0045,0.0791,0.1061,0.0044,-0.0136,0.1004,0.0107,0.0061,0.0046,0.0038,0.0034,0.0167,0.0121,0.0106,0.0098,0.0094
Legal Super Pty Ltd,legalsuper,Public offer,MySuper,Generic,Single strategy,,3157785,0.46,29950,0.77,0.00735,Pass,10,0.00875,0.00389,0.002482,0.0763,0.0088,4.00E-04,0.0723,0.0748,0.0094,-0.0023,0.0708,0.0905,0.0146,-0.0014,0.0865,0.098,0.0092,-0.0171,0.0938,0.008,0.0049,0.0039,0.0034,0.0031,0.0151,0.012,0.011,0.0104,0.0101
Meat Industry Employees Superannuation Fund Pty. Ltd.,Meat Industry Employees Superannuation Fund,Non-public offer,MIESF MySuper,Generic,Single strategy,,913373,0.85,16600,0.62,0.01891,Pass,10,0.02015,0.00372,0.002482,0.0762,0.0201,0.0103,0.0733,0.0724,0.0223,0.0069,0.0689,0.0779,0.0241,0.0039,0.074,0.077,0.0151,-0.0203,0.0728,0.012,0.0058,0.0037,0.0027,0.0021,0.0164,0.0102,0.0081,0.0071,0.0065
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Macquarie Group Superannuation MySuper Product,MySuper Large Employer,Single strategy,,673493,0.01,5470,0.76,0.0016,Pass,10,0.00012,0.001,0.002482,0.0669,1.00E-04,-0.0043,0.0649,0.0646,-5.00E-04,-0.0067,0.0628,0.0639,-0.0091,-0.0188,0.0622,0.0906,8.00E-04,-0.016,0.0892,0.001,0.001,0.001,0.001,0.001,0.0073,0.0073,0.0073,0.0073,0.0073
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,,355447,0,1340,,-0.00189,Pass,10,-0.00387,5.00E-04,0.002482,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 2014 to 2018 - CSD,,,,0.89,,,,,,,0.0675,-0.0078,-0.0094,0.064,0.0673,-0.0099,-0.013,0.0632,0.0818,-0.0097,-0.0148,0.0767,0.0801,-0.0408,-0.0509,0.0797,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.0071,0.0071,0.0071,0.0071,0.0071
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 2009 to 2013 - CSD,,,,0.89,,,,,,,0.0752,-6.00E-04,-0.0015,0.0716,0.0782,3.00E-04,-0.0016,0.074,0.0973,0.0048,0.0013,0.092,0.106,-0.0166,-0.0239,0.1055,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.0069,0.0069,0.0069,0.0069,0.0069
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 2004 to 2008 - CSD,,,,0.89,,,,,,,0.0704,-0.0055,-0.0065,0.0726,0.0713,-0.0067,-0.0088,0.0754,0.0875,-0.0052,-0.0088,0.0941,0.119,-0.0043,-0.0115,0.1184,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.007,0.007,0.007,0.007,0.007
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 1999 to 2003 - CSD,,,,0.89,,,,,,,0.0705,-0.0055,-0.0065,0.0727,0.0715,-0.0066,-0.0087,0.0756,0.0877,-0.005,-0.0088,0.0942,0.1193,-0.0039,-0.0113,0.1188,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.0068,0.0068,0.0068,0.0068,0.0068
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 1994 to 1998 - CSD,,,,0.9,,,,,,,0.0707,-0.0052,-0.0062,0.073,0.0718,-0.0062,-0.0084,0.076,0.0883,-0.0044,-0.0082,0.0949,0.1205,-0.0028,-0.0102,0.1199,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.0068,0.0068,0.0068,0.0068,0.0068
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 1989 to 1993 - CSD,,,,0.9,,,,,,,0.0709,-0.005,-0.006,0.0732,0.0721,-0.0059,-0.008,0.0764,0.0887,-0.004,-0.0078,0.0954,0.1213,-0.0019,-0.0093,0.1208,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.0068,0.0068,0.0068,0.0068,0.0068
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 1984 to 1988 - CSD,,,,0.9,,,,,,,0.0711,-0.0047,-0.0059,0.0733,0.0723,-0.0055,-0.0079,0.0764,0.0889,-0.0035,-0.0076,0.0954,0.1212,-0.0016,-0.0096,0.1207,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.0068,0.0068,0.0068,0.0068,0.0068
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 1979 to 1983 - CSD,,,,0.9,,,,,,,0.0711,-0.0046,-0.0059,0.0732,0.0723,-0.0054,-0.0079,0.0764,0.0889,-0.0033,-0.0076,0.0954,0.1211,-0.0013,-0.0097,0.1206,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.0069,0.0069,0.0069,0.0069,0.0069
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 1974 to 1978 - CSD,,,,0.9,,,,,,,0.0711,-0.0045,-0.0059,0.0732,0.0724,-0.0052,-0.0079,0.0764,0.089,-0.003,-0.0076,0.0954,0.1211,-9.00E-04,-0.0098,0.1206,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.007,0.007,0.007,0.007,0.007
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 1969 to 1973 - CSD,,,,0.88,,,,,,,0.0709,-0.0045,-0.0059,0.0731,0.0721,-0.0051,-0.008,0.0762,0.0887,-0.003,-0.0077,0.0951,0.1207,-7.00E-04,-0.0098,0.1202,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.0071,0.0071,0.0071,0.0071,0.0071
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 1964 to 1968 - CSD,,,,0.78,,,,,,,0.0688,-0.0035,-0.0056,0.0705,0.0692,-0.0037,-0.0075,0.0725,0.0844,-9.00E-04,-0.007,0.0899,0.111,0.0016,-0.0094,0.1105,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.0074,0.0074,0.0074,0.0074,0.0074
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 1959 to 1963 - CSD,,,,0.68,,,,,,,0.0663,-0.0024,-0.0057,0.0673,0.0655,-0.0022,-0.0076,0.0678,0.0792,0.0011,-0.0071,0.0832,0.0987,0.0042,-0.0104,0.0982,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.0075,0.0075,0.0075,0.0075,0.0075
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 1954 to 1958 - CSD,,,,0.61,,,,,,,0.0643,-8.00E-04,-0.0048,0.0644,0.0626,1.00E-04,-0.0064,0.0638,0.0752,0.0044,-0.0055,0.0775,0.0877,0.0077,-0.0093,0.0871,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.0069,0.0069,0.0069,0.0069,0.0069
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 1949 to 1953 - CSD,,,,0.61,,,,,,,0.0636,-0.0011,-0.0051,0.0637,0.0617,-3.00E-04,-0.0067,0.0627,0.0739,0.0038,-0.006,0.076,0.0851,0.0073,-0.0095,0.0845,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.0072,0.0072,0.0072,0.0072,0.0072
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 1944 to 1948 - CSD,,,,0.61,,,,,,,0.0633,-0.0014,-0.0054,0.0634,0.0612,-7.00E-04,-0.0072,0.0623,0.0732,0.0032,-0.0067,0.0754,0.084,0.0064,-0.0105,0.0835,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.0071,0.0071,0.0071,0.0071,0.0071
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 1939 to 1943 - CSD,,,,0.6,,,,,,,0.0635,-0.001,-0.0052,0.0636,0.0616,-3.00E-04,-0.0069,0.0626,0.0737,0.0039,-0.0062,0.0758,0.0847,0.0074,-0.01,0.0841,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.0072,0.0072,0.0072,0.0072,0.0072
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 1934 to 1938 - CSD,,,,0.61,,,,,,,0.0634,-0.0011,-0.0053,0.0635,0.0614,-4.00E-04,-0.007,0.0625,0.0735,0.0038,-0.0063,0.0757,0.0845,0.0072,-0.0101,0.084,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.0071,0.0071,0.0071,0.0071,0.0071
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 1929 to 1933 - CSD,,,,0.6,,,,,,,0.0639,-0.0013,-0.0046,0.064,0.0621,-7.00E-04,-0.0061,0.0632,0.0745,0.0033,-0.005,0.0766,0.0861,0.0064,-0.008,0.0856,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.0067,0.0067,0.0067,0.0067,0.0067
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Santos MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born prior to 1929 - CSD,,,,0.58,,,,,,,0.0626,-0.0017,-0.0062,0.0626,0.0602,-0.0011,-0.0083,0.0612,0.0717,0.0026,-0.0082,0.0738,0.0812,0.005,-0.0135,0.0807,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0.0075,0.0075,0.0075,0.0075,0.0075
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,,40441425,0.49,426620,,0.00173,Pass,10,0.00075,0.0015,0.002482,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 2014 to 2018 - CSD,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,0.0015,0.0015,0.0015,0.0015,0.0015,0.0081,0.0081,0.0081,0.0081,0.0081
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 2009 to 2013 - CSD,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,0.0015,0.0015,0.0015,0.0015,0.0015,0.0079,0.0079,0.0079,0.0079,0.0079
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 2004 to 2008 - CSD,,,,0.89,,,,,,,,,,,,,,,0.0975,-0.0046,-0.0083,0.0938,0.119,-0.0043,-0.0115,0.1163,0.0015,0.0015,0.0015,0.0015,0.0015,0.008,0.008,0.008,0.008,0.008
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 1999 to 2003 - CSD,,,,0.89,,,,,,,0.0782,-0.0027,-0.0045,0.073,0.0803,-0.0029,-0.0056,0.0756,0.1,-0.002,-0.0058,0.0963,0.1193,-0.0039,-0.0113,0.1166,0.0015,0.0015,0.0015,0.0015,0.0015,0.0078,0.0078,0.0078,0.0078,0.0078
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 1994 to 1998 - CSD,,,,0.9,,,,,,,0.0799,-9.00E-04,-0.0027,0.0746,0.0814,-0.0017,-0.0044,0.0767,0.101,-9.00E-04,-0.0047,0.0972,0.1205,-0.0028,-0.0102,0.1178,0.0015,0.0015,0.0015,0.0015,0.0015,0.0078,0.0078,0.0078,0.0078,0.0078
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 1989 to 1993 - CSD,,,,0.9,,,,,,,0.0802,-6.00E-04,-0.0024,0.0749,0.0819,-0.0011,-0.0039,0.0773,0.1018,-1.00E-04,-0.0039,0.0981,0.1213,-0.0019,-0.0093,0.1186,0.0015,0.0015,0.0015,0.0015,0.0015,0.0078,0.0078,0.0078,0.0078,0.0078
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 1984 to 1988 - CSD,,,,0.9,,,,,,,0.081,1.00E-04,-0.0018,0.0757,0.0826,-5.00E-04,-0.0034,0.078,0.1025,5.00E-04,-0.0036,0.0987,0.1212,-0.0016,-0.0096,0.1185,0.0015,0.0015,0.0015,0.0015,0.0015,0.0078,0.0078,0.0078,0.0078,0.0078
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 1979 to 1983 - CSD,,,,0.9,,,,,,,0.0812,4.00E-04,-0.0016,0.0759,0.0827,-3.00E-04,-0.0034,0.078,0.1029,0.0011,-0.0032,0.0991,0.1211,-0.0013,-0.0097,0.1184,0.0015,0.0015,0.0015,0.0015,0.0015,0.0079,0.0079,0.0079,0.0079,0.0079
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 1974 to 1978 - CSD,,,,0.9,,,,,,,0.0809,3.00E-04,-0.0019,0.0756,0.0825,-3.00E-04,-0.0036,0.0778,0.1028,0.0011,-0.0034,0.099,0.1211,-9.00E-04,-0.0098,0.1184,0.0015,0.0015,0.0015,0.0015,0.0015,0.008,0.008,0.008,0.008,0.008
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 1969 to 1973 - CSD,,,,0.88,,,,,,,0.0806,0.001,-0.0011,0.0753,0.0819,5.00E-04,-0.0027,0.0772,0.1019,0.002,-0.0026,0.0981,0.1207,-7.00E-04,-0.0098,0.118,0.0015,0.0015,0.0015,0.0015,0.0015,0.0081,0.0081,0.0081,0.0081,0.0081
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 1964 to 1968 - CSD,,,,0.78,,,,,,,0.0752,0.0018,-8.00E-04,0.0699,0.0762,0.0022,-0.0015,0.0716,0.0934,0.0057,-3.00E-04,0.0897,0.111,0.0016,-0.0094,0.1083,0.0015,0.0015,0.0015,0.0015,0.0015,0.0084,0.0084,0.0084,0.0084,0.0084
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 1959 to 1963 - CSD,,,,0.68,,,,,,,0.0671,0.0018,-0.002,0.0619,0.0679,0.0034,-0.0021,0.0633,0.0811,0.0079,-7.00E-04,0.0774,0.0987,0.0042,-0.0104,0.0961,0.0015,0.0015,0.0015,0.0015,0.0015,0.0085,0.0085,0.0085,0.0085,0.0085
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 1954 to 1958 - CSD,,,,0.61,,,,,,,0.0604,0.0038,-0.0015,0.0552,0.0609,0.0065,-6.00E-04,0.0564,0.0704,0.0114,0.0014,0.0667,0.0877,0.0077,-0.0093,0.085,0.0015,0.0015,0.0015,0.0015,0.0015,0.0079,0.0079,0.0079,0.0079,0.0079
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 1949 to 1953 - CSD,,,,0.61,,,,,,,0.0552,0.0025,-0.0032,0.05,0.0561,0.0052,-0.0019,0.0516,0.0638,0.0109,9.00E-04,0.0601,0.0851,0.0073,-0.0095,0.0824,0.0015,0.0015,0.0015,0.0015,0.0015,0.0082,0.0082,0.0082,0.0082,0.0082
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 1944 to 1948 - CSD,,,,0.61,,,,,,,0.0539,0.0018,-0.0041,0.0487,0.0553,0.0046,-0.0027,0.0508,0.0628,0.0102,-1.00E-04,0.0592,0.084,0.0064,-0.0105,0.0814,0.0015,0.0015,0.0015,0.0015,0.0015,0.0081,0.0081,0.0081,0.0081,0.0081
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 1939 to 1943 - CSD,,,,0.6,,,,,,,0.0543,0.0022,-0.0037,0.0491,0.0557,0.0049,-0.0024,0.0511,0.0628,0.0101,-1.00E-04,0.0591,0.0847,0.0074,-0.01,0.082,0.0015,0.0015,0.0015,0.0015,0.0015,0.0082,0.0082,0.0082,0.0082,0.0082
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 1934 to 1938 - CSD,,,,0.61,,,,,,,0.0543,0.0023,-0.0037,0.0491,0.056,0.0055,-0.002,0.0515,0.0627,0.0103,-2.00E-04,0.0591,0.0845,0.0072,-0.0101,0.0819,0.0015,0.0015,0.0015,0.0015,0.0015,0.0081,0.0081,0.0081,0.0081,0.0081
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born 1929 to 1933 - CSD,,,,0.6,,,,,,,0.0551,0.0026,-0.0026,0.0499,0.0577,0.006,-1.00E-04,0.0532,0.0646,0.0106,0.002,0.0609,0.0861,0.0064,-0.008,0.0835,0.0015,0.0015,0.0015,0.0015,0.0015,0.0077,0.0077,0.0077,0.0077,0.0077
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer SmartPath,Generic,Lifecycle,Mercer SmartPath - Born prior to 1929 - CSD,,,,0.58,,,,,,,,,,,,,,,,,,,0.0812,0.005,-0.0135,0.0786,0.0015,0.0015,0.0015,0.0015,0.0015,0.0085,0.0085,0.0085,0.0085,0.0085
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Tailored (CRG) MySuper,MySuper Large Employer,Lifecycle,,1454010,0.02,8360,,,Pass*,6,,0.001,0.002482,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Tailored (CRG) MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 2014 to 2018 - CSD,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.001,0.001,0.001,0.0076,0.0076,0.0076,0.0076,0.0076
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Tailored (CRG) MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 2009 to 2013 - CSD,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.001,0.001,0.001,0.0074,0.0074,0.0074,0.0074,0.0074
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Tailored (CRG) MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 2004 to 2008 - CSD,,,,0.89,,,,,,,,,,,,,,,0.0975,-0.0046,-0.0083,0.0964,0.119,-0.0043,-0.0115,0.1177,0.001,0.001,0.001,0.001,0.001,0.0075,0.0075,0.0075,0.0075,0.0075
Mercer Superannuation (Australia) Limited,Mercer Super Trust,Public offer,Mercer Tailored (CRG) MySuper,MySuper Large Employer,Lifecycle,Mercer SmartPath - Born 1999 to 2003 - CSD,,,,0.89,,,,,,,,,,,,,,,0.1,-0.002,-0.0058,0.0986,0.1193,-0.0039,-0.0113,0.1181,0.001,0.001,0.001,0.001,0.001,0.0073,0.0073,0.0073,0.0073,0.0073
